criteria;sc;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r
ve;3;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;0;0;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;0;0;0;0;0;2;2;2;2;100;2;0;2;2;100;0;0;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
Ma;3;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;0;2;50;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
Ea;3;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2, 1;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
Gj;3;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;80;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
Gp;3;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
